Date,Agroalimentaire - S&P 500 Consumer Staples,Automobile - S&P 500 Automobiles & Components,Énergie & Utilities - S&P 500 Utilities,Industries Manufacturières - S&P 500 Industrials,Technologies & Médias - NASDAQ Composite,Technologies & Médias - S&P 500 Information Technology,Santé - S&P 500 Health Care,Santé - NASDAQ Biotechnology,Transport - Dow Jones Transportation Average,Distribution & Consommation - S&P 500 Consumer Discretionary,Construction & Matériaux - S&P 500 Materials
2024-12-31 14:30:00,853.6500244140625,1831.1600341796875,384.95001220703125,1115.6500244140625,19310.7890625,4609.52001953125,1604.75,4310.6298828125,15895.75,1831.1600341796875,529.77001953125
2025-01-02 14:30:00,850.02001953125,1807.97998046875,387.7699890136719,1111.530029296875,19280.7890625,4600.06982421875,1604.97998046875,4338.35986328125,15823.26953125,1807.97998046875,523.739990234375
2025-01-03 14:30:00,850.8499755859375,1851.81005859375,392.0299987792969,1123.8699951171875,19621.6796875,4674.77978515625,1620.8199462890625,4371.41015625,16007.01953125,1851.81005859375,523.8900146484375
2025-01-06 14:30:00,842.510009765625,1863.1199951171875,387.739990234375,1121.489990234375,19864.98046875,4742.02978515625,1620.52001953125,4362.14990234375,16035.400390625,1863.1199951171875,527.3200073242188
2025-01-07 14:30:00,840.219970703125,1821.9300537109375,386.6099853515625,1120.3499755859375,19489.6796875,4628.60009765625,1629.969970703125,4399.35986328125,16073.5302734375,1821.9300537109375,527.239990234375
2025-01-08 14:30:00,844.0700073242188,1826.3499755859375,386.57000732421875,1124.9599609375,19478.880859375,4633.0,1638.6400146484375,4375.1298828125,16107.0498046875,1826.3499755859375,529.8200073242188
2025-01-10 14:30:00,834.5399780273438,1808.5699462890625,384.3599853515625,1112.52001953125,19161.630859375,4529.7998046875,1629.2099609375,4295.5,15923.419921875,1808.5699462890625,524.6300048828125
2025-01-13 14:30:00,834.0599975585938,1817.1700439453125,379.7799987792969,1125.3699951171875,19088.099609375,4490.60009765625,1649.949951171875,4330.419921875,16068.26953125,1817.1700439453125,536.25
2025-01-14 14:30:00,834.0900268554688,1811.31005859375,384.70001220703125,1138.3800048828125,19044.390625,4486.10986328125,1634.3699951171875,4250.5498046875,16277.740234375,1811.31005859375,542.9099731445312
2025-01-15 14:30:00,833.2999877929688,1865.9200439453125,390.30999755859375,1146.050048828125,19511.23046875,4585.85009765625,1638.3299560546875,4332.81005859375,16439.859375,1865.9200439453125,547.8400268554688
2025-01-16 14:30:00,837.8900146484375,1849.1500244140625,400.3699951171875,1159.6199951171875,19338.2890625,4526.330078125,1645.22998046875,4313.1298828125,16601.009765625,1849.1500244140625,552.280029296875
2025-01-17 14:30:00,845.02001953125,1880.800048828125,400.760009765625,1166.1400146484375,19630.19921875,4601.2099609375,1634.1400146484375,4313.72021484375,16431.259765625,1880.800048828125,556.1400146484375
2025-01-21 14:30:00,849.0800170898438,1899.72998046875,406.9700012207031,1189.8499755859375,19756.779296875,4618.5498046875,1661.1099853515625,4428.169921875,16662.4609375,1899.72998046875,563.1699829101562
2025-01-22 14:30:00,846.8400268554688,1898.43994140625,398.1099853515625,1187.8699951171875,20009.33984375,4733.60009765625,1656.9100341796875,4441.31982421875,16555.83984375,1898.43994140625,558.72998046875
2025-01-23 14:30:00,850.2899780273438,1906.1099853515625,399.9700012207031,1199.219970703125,20053.6796875,4739.16015625,1679.239990234375,4514.43017578125,16640.05078125,1906.1099853515625,561.5599975585938
2025-01-24 14:30:00,853.3300170898438,1895.77001953125,404.2300109863281,1194.1500244140625,19954.30078125,4687.66015625,1681.5,4489.43017578125,16605.94921875,1895.77001953125,560.25
2025-01-27 14:30:00,877.6099853515625,1901.3699951171875,394.82000732421875,1178.4300537109375,19341.830078125,4425.89013671875,1718.3399658203125,4525.60009765625,16848.55078125,1901.3699951171875,560.6400146484375
2025-01-28 14:30:00,864.4199829101562,1907.739990234375,389.3500061035156,1170.8900146484375,19733.58984375,4585.02001953125,1706.9200439453125,4519.85986328125,16694.01953125,1907.739990234375,558.6799926757812
2025-01-29 14:30:00,866.7000122070312,1898.260009765625,390.0799865722656,1166.43994140625,19632.3203125,4534.93017578125,1697.1800537109375,4508.31005859375,16657.849609375,1898.260009765625,557.5499877929688
2025-01-30 14:30:00,876.010009765625,1909.760009765625,398.4200134277344,1179.800048828125,19681.75,4509.7001953125,1716.81005859375,4548.2099609375,16511.25,1909.760009765625,563.1500244140625
2025-01-31 14:30:00,869.7000122070312,1911.5699462890625,395.92999267578125,1171.3399658203125,19627.439453125,4474.240234375,1710.760009765625,4532.75,16306.83984375,1911.5699462890625,559.030029296875
2025-02-03 14:30:00,875.6500244140625,1885.800048828125,397.7699890136719,1159.22998046875,19391.9609375,4393.509765625,1717.5699462890625,4500.52978515625,15927.650390625,1885.800048828125,559.3099975585938
2025-02-04 14:30:00,871.2000122070312,1912.8499755859375,394.260009765625,1160.02001953125,19654.01953125,4458.18017578125,1712.9599609375,4538.0400390625,16105.0302734375,1912.8499755859375,560.8800048828125
2025-02-05 14:30:00,878.9400024414062,1882.4300537109375,398.3399963378906,1161.1199951171875,19692.330078125,4528.22021484375,1730.43994140625,4651.39990234375,16137.3095703125,1882.4300537109375,560.7000122070312
2025-02-06 14:30:00,886.7100219726562,1890.8699951171875,398.1000061035156,1165.969970703125,19791.990234375,4557.89013671875,1714.2099609375,4590.509765625,16199.669921875,1890.8699951171875,562.5800170898438
2025-02-07 14:30:00,883.2000122070312,1843.1800537109375,396.8900146484375,1162.0,19523.400390625,4511.47021484375,1705.449951171875,4494.93017578125,16147.1904296875,1843.1800537109375,555.8699951171875
2025-02-10 14:30:00,890.1300048828125,1852.31005859375,401.1199951171875,1172.5799560546875,19714.26953125,4577.02978515625,1704.489990234375,4460.18994140625,16312.75,1852.31005859375,558.739990234375
2025-02-11 14:30:00,898.219970703125,1829.5699462890625,403.1000061035156,1172.8499755859375,19643.859375,4585.41015625,1700.75,4404.02978515625,16376.5302734375,1829.5699462890625,561.739990234375
2025-02-12 14:30:00,900.3099975585938,1824.1099853515625,402.5299987792969,1166.02001953125,19649.94921875,4583.240234375,1698.8399658203125,4462.77001953125,16317.0400390625,1824.1099853515625,557.9099731445312
2025-02-13 14:30:00,909.02001953125,1853.300048828125,403.1099853515625,1167.1199951171875,19945.640625,4653.10009765625,1705.5799560546875,4529.93994140625,16395.240234375,1853.300048828125,567.4500122070312
2025-02-14 14:30:00,898.5,1848.3199462890625,401.04998779296875,1163.780029296875,20026.76953125,4681.08984375,1686.5699462890625,4521.85009765625,16606.529296875,1848.3199462890625,565.5900268554688
2025-02-18 14:30:00,899.5800170898438,1838.780029296875,404.80999755859375,1172.760009765625,20041.259765625,4707.009765625,1682.199951171875,4539.7900390625,16804.439453125,1838.780029296875,572.5399780273438
2025-02-19 14:30:00,906.6500244140625,1839.3900146484375,406.6300048828125,1173.75,20056.25,4713.93017578125,1703.3599853515625,4581.35009765625,16547.30078125,1839.3900146484375,565.8900146484375
2025-02-20 14:30:00,897.9600219726562,1819.1500244140625,406.70001220703125,1165.8199462890625,19962.359375,4711.080078125,1712.7900390625,4606.31005859375,16465.0,1819.1500244140625,564.4099731445312
2025-02-21 14:30:00,906.9500122070312,1768.75,406.6300048828125,1139.7900390625,19524.009765625,4595.72998046875,1704.68994140625,4590.25,16034.3603515625,1768.75,554.22998046875
2025-02-24 14:30:00,907.8900146484375,1753.2900390625,404.55999755859375,1134.8299560546875,19286.9296875,4530.22021484375,1717.5400390625,4562.27001953125,15915.830078125,1753.2900390625,553.239990234375
2025-02-25 14:30:00,923.239990234375,1738.6199951171875,402.489990234375,1140.8199462890625,19026.390625,4468.14990234375,1732.22998046875,4532.89990234375,15909.58984375,1738.6199951171875,557.6799926757812
2025-02-26 14:30:00,906.0999755859375,1731.8599853515625,404.0,1141.5400390625,19075.259765625,4507.83984375,1720.3599853515625,4507.93017578125,15861.0703125,1731.8599853515625,557.280029296875
2025-02-27 14:30:00,906.260009765625,1700.949951171875,395.0,1137.260009765625,18544.419921875,4336.93017578125,1713.300048828125,4458.39990234375,15762.7998046875,1700.949951171875,553.4199829101562
2025-02-28 14:30:00,918.3400268554688,1731.52001953125,400.57000732421875,1152.5400390625,18847.279296875,4411.2900390625,1734.280029296875,4518.06005859375,15986.490234375,1731.52001953125,558.1799926757812
2025-03-03 14:30:00,923.9099731445312,1691.5699462890625,401.3299865722656,1135.800048828125,18350.189453125,4255.81982421875,1740.4300537109375,4426.740234375,15702.259765625,1691.5699462890625,546.510009765625
2025-03-04 14:30:00,907.4500122070312,1663.3599853515625,394.4700012207031,1113.56005859375,18285.16015625,4256.33984375,1724.3199462890625,4441.66015625,15378.3701171875,1663.3599853515625,538.9600219726562
2025-03-05 14:30:00,911.3800048828125,1692.4200439453125,391.7799987792969,1131.25,18552.73046875,4315.4501953125,1741.6500244140625,4521.77978515625,15551.9599609375,1692.4200439453125,553.1500244140625
2025-03-06 14:30:00,910.4099731445312,1642.8399658203125,383.739990234375,1120.8599853515625,18069.259765625,4201.18017578125,1736.8499755859375,4493.7900390625,15486.2900390625,1642.8399658203125,550.2100219726562
